x1,y1,z1,x2,y2,z2,x3,y3,z3,
0,0,0,16,0,0,25,0,0,
2.29419e-05,9.58859e-08,2.25164e-08,15.9984,0.229159,0.0916633,24.9993,0.224535,-0.0916655,
9.21446e-05,7.7769e-07,1.82618e-07,15.9937,0.458271,0.183306,24.9971,0.449057,-0.183324,
0.000207589,2.63592e-06,6.18953e-07,15.9857,0.68729,0.274907,24.9935,0.673556,-0.274969,
0.000369245,6.2605e-06,1.47e-06,15.9746,0.916168,0.366445,24.9884,0.898019,-0.366592,
0.000577069,1.22405e-05,2.87397e-06,15.9604,1.14486,0.4579,24.9819,1.12243,-0.458188,
0.000831006,2.11637e-05,4.96875e-06,15.9429,1.37331,0.549252,24.974,1.34679,-0.549748,
0.00113099,3.36165e-05,7.89179e-06,15.9223,1.60149,0.640478,24.9646,1.57107,-0.641267,
0.00147693,5.01836e-05,1.178e-05,15.8985,1.82934,0.73156,24.9538,1.79527,-0.732738,
0.00186875,7.14475e-05,1.67698e-05,15.8716,2.05681,0.822476,24.9415,2.01937,-0.824153,
0.00230634,9.79886e-05,2.29969e-05,15.8416,2.28386,0.913207,24.9278,2.24337,-0.915507,
0.00278958,0.000130384,3.05961e-05,15.8084,2.51045,1.00373,24.9127,2.46725,-1.00679,
0.00331834,0.00016921,3.97017e-05,15.772,2.73653,1.09403,24.8961,2.69099,-1.098,
0.00389249,0.000215037,5.04467e-05,15.7326,2.96204,1.18409,24.8782,2.91459,-1.18913,
0.00451188,0.000268433,6.29635e-05,15.69,3.18696,1.27388,24.8588,3.13804,-1.28018,
0.00517633,0.000329963,7.73832e-05,15.6444,3.41123,1.36339,24.838,3.36132,-1.37113,
0.00588569,0.000400188,9.38359e-05,15.5957,3.63481,1.45259,24.8157,3.58442,-1.46198,
0.00663975,0.000479664,0.00011245,15.5439,3.85765,1.54148,24.7921,3.80734,-1.55272,
0.00743834,0.000568943,0.000133354,15.489,4.07972,1.63002,24.7671,4.03005,-1.64336,
0.00828123,0.000668573,0.000156674,15.4312,4.30096,1.71821,24.7407,4.25255,-1.73388,
0.00916822,0.000779096,0.000182535,15.3702,4.52133,1.80603,24.7129,4.47482,-1.82428,
0.0100991,0.000901049,0.00021106,15.3063,4.7408,1.89345,24.6838,4.69686,-1.91455,
0.0110735,0.00103497,0.000242371,15.2394,4.95932,1.98046,24.6532,4.91866,-2.00469,
0.0120914,0.00118137,0.000276589,15.1695,5.17684,2.06704,24.6213,5.14019,-2.0947,
0.0131524,0.00134079,0.000313832,15.0967,5.39334,2.15318,24.5881,5.36146,-2.18456,
0.0142562,0.00151373,0.000354218,15.0209,5.60876,2.23886,24.5534,5.58245,-2.27428,
0.0154026,0.00170071,0.000397863,14.9423,5.82307,2.32406,24.5175,5.80315,-2.36385,
0.0165913,0.00190222,0.00044488,14.8607,6.03622,2.40877,24.4802,6.02354,-2.45326,
0.017822,0.00211876,0.000495382,14.7763,6.24819,2.49297,24.4415,6.24363,-2.54251,
0.0190944,0.00235083,0.000549477,14.689,6.45892,2.57665,24.4016,6.46339,-2.6316,
0.0204081,0.00259891,0.000607276,14.5989,6.66839,2.65979,24.3603,6.68282,-2.72052,
0.0217629,0.00286346,0.000668884,14.506,6.87655,2.74238,24.3177,6.90191,-2.80927,
0.0231585,0.00314497,0.000734407,14.4104,7.08337,2.8244,24.2738,7.12064,-2.89784,
0.0245944,0.00344389,0.000803945,14.312,7.28881,2.90583,24.2286,7.33901,-2.98623,
0.0260704,0.00376067,0.000877602,14.2108,7.49284,2.98667,24.1821,7.557,-3.07443,
0.027586,0.00409577,0.000955474,14.107,7.69542,3.0669,24.1344,7.77462,-3.16245,
0.029141,0.00444963,0.00103766,14.0005,7.89652,3.14651,24.0854,7.99184,-3.25028,
0.030735,0.00482266,0.00112425,13.8914,8.0961,3.22549,24.0351,8.20866,-3.33791,
0.0323675,0.00521531,0.00121534,13.7797,8.29413,3.30381,23.9836,8.42506,-3.42534,
0.0340383,0.00562798,0.00131103,13.6654,8.49058,3.38147,23.9308,8.64105,-3.51257,
0.0357469,0.00606109,0.00141139,13.5485,8.68542,3.45846,23.8768,8.8566,-3.5996,
0.0374929,0.00651503,0.00151652,13.4292,8.87862,3.53476,23.8215,9.07171,-3.68642,
0.039276,0.0069902,0.00162649,13.3073,9.07014,3.61037,23.7651,9.28638,-3.77302,
0.0410957,0.00748698,0.0017414,13.183,9.25995,3.68527,23.7074,9.50059,-3.85941,
0.0429516,0.00800575,0.00186132,13.0563,9.44804,3.75945,23.6486,9.71433,-3.94558,
0.0448434,0.00854688,0.00198634,12.9272,9.63436,3.8329,23.5885,9.9276,-4.03153,
0.0467705,0.00911072,0.00211651,12.7957,9.81889,3.9056,23.5273,10.1404,-4.11725,
0.0487326,0.00969764,0.00225193,12.6619,10.0016,3.97756,23.4649,10.3527,-4.20275,
0.0507293,0.010308,0.00239265,12.5258,10.1825,4.04876,23.4013,10.5645,-4.28802,
0.0527601,0.010942,0.00253876,12.3874,10.3615,4.11918,23.3366,10.7758,-4.37306,
0.0548246,0.0116002,0.00269031,12.2469,10.5386,4.18882,23.2707,10.9865,-4.45786,
0.0569223,0.0122827,0.00284738,12.1041,10.7138,4.25768,23.2037,11.1968,-4.54242,
0.0590528,0.01299,0.00301002,11.9592,10.8871,4.32574,23.1355,11.4065,-4.62674,
0.0612157,0.0137222,0.0031783,11.8121,11.0583,4.39299,23.0663,11.6157,-4.71082,
0.0634105,0.0144798,0.00335228,11.663,11.2277,4.45942,22.9959,11.8243,-4.79465,
0.0656367,0.0152629,0.00353201,11.5119,11.395,4.52503,22.9245,12.0324,-4.87823,
0.067894,0.0160719,0.00371754,11.3587,11.5602,4.58981,22.8519,12.24,-4.96157,
0.0701818,0.016907,0.00390894,11.2035,11.7234,4.65376,22.7783,12.4469,-5.04465,
0.0724996,0.0177686,0.00410625,11.0464,11.8846,4.71685,22.7036,12.6533,-5.12748,
0.0748472,0.0186568,0.00430951,10.8874,12.0437,4.7791,22.6279,12.8592,-5.21005,
0.0772239,0.0195718,0.00451879,10.7265,12.2006,4.84048,22.5511,13.0644,-5.29236,
0.0796293,0.020514,0.00473411,10.5638,12.3555,4.901,22.4732,13.269,-5.37441,
0.082063,0.0214836,0.00495553,10.3993,12.5082,4.96064,22.3944,13.4731,-5.4562,
0.0845244,0.0224807,0.00518309,10.2331,12.6587,5.01941,22.3145,13.6765,-5.53772,
